"Accounting","المحاسبة",""
"Action","الإجراء",""
"Actions","الإجراءات",""
"Active Theme","السمة النشطة",""
"Actual In Time","وقت الحضور الفعلي",""
"Actual Out Time","وقت الانصراف الفعلي",""
"Add at least one item before payment","أضف صنفاً واحداً على الأقل قبل الدفع",""
"After Value","القيمة بعد التغيير",""
"All offline invoices deleted","تم مسح كل الفواتير الأوفلاين",""
"Allow Cash Expense Without Supervisor","السماح بمصروف نقدي بدون مشرف",""
"Allow Cash In Without Supervisor","السماح بإدخال نقدي بدون مشرف",""
"Allow Cash Withdrawal Without Supervisor","السماح بسحب نقدي بدون مشرف",""
"Allow Item Discount Without Supervisor","السماح بخصم الصنف بدون مشرف",""
"Allow Rate Change Without Supervisor","السماح بتغيير السعر بدون مشرف",""
"Allow Return Without Supervisor","السماح بالمرتجع بدون مشرف",""
"Allow Transaction Discount Without Supervisor","السماح بخصم المعاملة بدون مشرف",""
"Amended From","معدّل من",""
"Amount","المبلغ",""
"Applications","عدد مرات التطبيق",""
"Apply On","التطبيق على",""
"Apply Scope","نطاق التطبيق",""
"Approved Change","التغيير المعتمد",""
"Approved Offline","تمت الموافقة أوفلاين",""
"Attachment","المرفق",""
"Attendance","الحضور",""
"Attendance Date","تاريخ الحضور",""
"Attendance Justification Request","طلب تبرير الحضور",""
"Auto (Managed then Legacy)","تلقائي (المُدار ثم القديم)",""
"Auto Apply","تطبيق تلقائي",""
"Auto Sync","مزامنة تلقائية",""
"Automatically prints the final receipt after a normal Complete Order.","يطبع الإيصال النهائي تلقائيًا بعد إكمال الطلب العادي.",""
"Available invoices synced","تمت مزامنة الفواتير المتاحة",""
"Back to Recent Orders","العودة للطلبات الأخيرة",""
"Barcode","الباركود",""
"Barcode Height","ارتفاع الباركود",""
"Barcode Module Width","عرض وحدة الباركود",""
"Barcode Prefix","بادئة الباركود",""
"Barcode Structure","هيكل الباركود",""
"Barcode Structure Detail","تفاصيل هيكل الباركود",""
"Baud Rate","معدل البود",""
"Before Value","القيمة قبل التغيير",""
"Benefit","المنفعة",""
"Brand","العلامة التجارية",""
"Browser changes apply only to this browser and this POS Profile. POS Profile Settings become the server default for every browser using this POS Profile.","تُطبق تغييرات المتصفح على هذا المتصفح وملف تعريف نقطة البيع الحالي فقط. وتصبح إعدادات ملف تعريف نقطة البيع هي الإعدادات الافتراضية على الخادم لكل متصفح يستخدم ملف التعريف نفسه.",""
"Browser override is active","إعدادات المتصفح المخصصة مفعلة",""
"Browser Print","الطباعة عبر المتصفح",""
"Button View","أزرار",""
"Buy Quantity","كمية الشراء",""
"Cache Filters (JSON)","فلاتر الكاش (JSON)",""
"Cache Limit","حد الكاش",""
"Cached HTML","HTML المخزن مؤقتًا",""
"Campaign","الحملة",""
"Cancel","إلغاء",""
"Cancelled","ملغي",""
"Cannot save POS Profile Settings while offline.","لا يمكن حفظ إعدادات ملف تعريف نقطة البيع على الخادم أثناء عدم الاتصال.",""
"canvas_scale","مقياس الرسم",""
"Cash In Offset Account","حساب مقابل للإدخال النقدي",""
"Cash Movement","الحركة النقدية",""
"Cash Movement Override Permissions","صلاحيات تجاوز الحركة النقدية",""
"Cash Movement Permissions","صلاحيات الحركة النقدية",""
"Cashier Handoff Saved","تم حفظ الإرسال للكاشير",""
"Cashier User","مستخدم الكاشير",""
"Check server connection","فحص اتصال الخادم",""
"Checking server connection","جاري فحص اتصال الخادم",""
"Close the POS","إغلاق نقطة البيع",""
"Company","الشركة",""
"Complete Order","إكمال الطلب",""
"Complete Order will apply payment to the offline invoice then save it offline.","إكمال الطلب سيضيف الدفع للفاتورة الأوفلاين ثم يحفظها أوفلاين.",""
"Conditions","الشروط",""
"Conflict Policy","سياسة التعارض",""
"Connect Serial Printer","توصيل طابعة Serial",""
"Connect USB Printer","توصيل طابعة USB",""
"Control Cash Expense","التحكم في المصروف النقدي",""
"Control Cash In","التحكم في الإدخال النقدي",""
"Control Cash Withdrawal","التحكم في السحب النقدي",""
"Control Item Discount","التحكم في خصم الصنف",""
"Control Rate Change","التحكم في تغيير السعر",""
"Control Return","التحكم في المرتجع",""
